"site","cushion","code","sample","cushion.open","diam1","diam2","area","Achillea millefolium","Arabis lemonii","Arenaria congesta","Besseya wyomingensis","Campanula rotundifolia","Carex rupestris","Cerastium arvense","Cetraria aculeata","Cymopterus glaucus","Douglasia montana","Draba paysonii","Erigeron compositus","Erigeron sp","Eriogonum ovalifolium","Eritrichium nanum","Festuca idahoensis","Gaillardia aristata","Galium boreale","Geum triflorum","Heuchera cylindrica","Lesquerella humilis","Myosotis sylvatica","Oxytropis sericea","Penstemon rydbergii","Poa secunda","Polytrichum piliferum","Potentilla arguta","Potentilla diversifolia","Sedum lanceolatum","Taraxacum officinale"
"Rogers Pass","Antennaria umbrinella",33,2,"cushion",,,,,,,,,,,15,,3,,,,,,,1,,1,,,1,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,19,"cushion",,,,,,1,,,,5,8,,2,,1,,1,,8,,,7,,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,20,"cushion",,,,,,8,,,,,,1,,,1,,,,11,,,,,,,,,,,,,7,
"Rogers Pass","Antennaria umbrinella",33,21,"cushion",,,,,,,1,,,7,,4,,,,,,,20,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,7,"open",,,,,,,,,,,4,,,,8,,,,3,1,,,,,,,,1,,,,1,
"Rogers Pass","Antennaria umbrinella",33,8,"open",,,,2,,,,,,,,,1,1,,,1,,1,,,,,,,1,,,,,,1,1
"Rogers Pass","Antennaria umbrinella",33,9,"open",,,,4,,,,,,1,2,,,,3,,2,,6,,,,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,10,"open",,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,12,"open",,,,,,,,,,,,1,1,,,,,,,,,3,,,,1,3,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,13,"open",,,,,,4,,,,,2,1,,,,1,,,3,,,,,,,,,3,,,,,
"Rogers Pass","Antennaria umbrinella",33,16,"open",,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,25,"open",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,
"Rogers Pass","Antennaria umbrinella",33,26,"open",,,,,,,,,,,,,1,,3,,,,2,,,,,,,,,1,,,,1,
"Rogers Pass","Antennaria umbrinella",33,27,"open",,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,28,"open",,,,1,,,1,,,,,,1,,,,,,1,,,,,,,1,,2,,,,1,
"Rogers Pass","Antennaria umbrinella",33,29,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
"Rogers Pass","Antennaria umbrinella",33,30,"open",,,,1,,,,1,,1,2,,,,2,,,,,,,,,,,1,,1,1,,,,
"Rogers Pass","Antennaria umbrinella",33,4,"cushion",,,,3,,,,,,,,,2,,,1,,,7,,,,,,,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,6,"cushion",,,,,,,,,,,1,4,,,1,3,,,2,,,,,,,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,7,"cushion",,,,,,,1,,,,7,,1,,,,,,8,,,,,,,,4,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,8,"cushion",,,,,,,1,,,,,,1,,,,3,,,,,,,2,,1,,,2,,,3,
"Rogers Pass","Antennaria umbrinella",33,9,"cushion",,,,6,1,,1,,,2,5,,1,,1,1,6,,13,,,,,,,,,,1,,,,
"Rogers Pass","Antennaria umbrinella",33,10,"cushion",,,,,,,,,,2,,,1,,,,,,3,,,,,,,,,,1,,,2,
"Rogers Pass","Antennaria umbrinella",33,13,"cushion",,,,,,6,1,,,,4,1,1,,3,2,,,5,,,,,,,1,,1,,,,,
"Rogers Pass","Antennaria umbrinella",33,16,"cushion",,,,,,,,,,,6,1,,,1,,,,,,,,,,,,,,,,,7,
"Rogers Pass","Antennaria umbrinella",33,18,"cushion",,,,,1,3,,,,5,20,,,,,,,,3,,,1,,,,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,22,"cushion",,,,,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,23,"cushion",,,,,,,3,,,,9,,,,,,,,7,,,,,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,24,"cushion",,,,1,,5,4,,,5,8,1,2,,,,,,7,,,2,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,25,"cushion",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,
"Rogers Pass","Antennaria umbrinella",33,26,"cushion",,,,,,,1,,,,,1,1,,,,,,2,,,,,,,,,2,,,,4,1
"Rogers Pass","Antennaria umbrinella",33,27,"cushion",,,,,,,2,,,,,,,,1,,,,4,,,,,,,,,2,,,1,2,
"Rogers Pass","Antennaria umbrinella",33,28,"cushion",,,,1,,,3,,2,,,,1,,,,,,4,,3,,,,,,,,,,,1,
"Rogers Pass","Antennaria umbrinella",33,29,"cushion",,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,30,"cushion",,,,3,,,,3,,1,6,,,,1,,,,1,,,,,,,,,1,3,,,1,
"Rogers Pass","Antennaria umbrinella",33,2,"open",,,,2,,,,,,,3,,1,,2,,,,,,,,,,,,,,,,,1,
"Rogers Pass","Antennaria umbrinella",33,3,"open",,,,,,,1,,,,2,1,1,1,2,,1,,,,,,,,,1,,,,,1,2,
"Rogers Pass","Antennaria umbrinella",33,4,"open",,,,1,,,,,,1,,,,,,,1,,2,,,,,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,17,"open",,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,1,2,
"Rogers Pass","Antennaria umbrinella",33,18,"open",,,,,,2,,,,4,8,,,,,,,,,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,19,"open",,,,,,,,,,4,3,,1,,,,,,4,,,5,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,20,"open",,,,,,2,,,,,,1,2,,,,,,6,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,21,"open",,,,,,,1,,,3,,1,2,,3,,,,11,,,,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,22,"open",,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,23,"open",,,,,,,2,,,,3,,2,,,,,,4,,,,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,24,"open",,,,1,,1,1,,,2,4,1,1,,3,,,,4,,,3,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,12,"cushion",,,,,,,1,,,,,1,3,,,,,1,,,,8,,,,1,5,,,,,4,
"Rogers Pass","Antennaria umbrinella",33,17,"cushion",,,,,,,1,,,,,,,1,,,1,1,2,,,,,,,,,,,,1,3,
"Rogers Pass","Antennaria umbrinella",33,1,"open",,,,,,,,,,,,,2,,1,,,1,3,,,,,,,,,,,,,,
"Rogers Pass","Antennaria umbrinella",33,5,"open",,,,1,,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,14,"open",,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,,6,
"Rogers Pass","Antennaria umbrinella",33,1,"cushion",,,,,,,,,,,,,4,,,,,2,7,,,,1,,,,,,,,,2,
"Rogers Pass","Antennaria umbrinella",33,3,"cushion",,,,,,,,,,,4,,3,,1,,,2,,,,,,,,1,,,,,1,5,
"Rogers Pass","Antennaria umbrinella",33,5,"cushion",,,,,,,1,,,,,,3,,,,,2,4,,,,,,,,,,,,,3,
"Rogers Pass","Antennaria umbrinella",33,14,"cushion",,,,,,,,,,,9,,,1,,,,2,1,,,,,,,,,,,,,9,
"Rogers Pass","Antennaria umbrinella",33,6,"open",,,,,,,,,,,1,1,2,,2,1,,2,,,,,,,,,,,,,,1,
"Rogers Pass","Antennaria umbrinella",33,11,"open",,,,,,,,,,,,1,1,,,2,,2,2,,,,,,,2,,2,,,,2,
"Rogers Pass","Antennaria umbrinella",33,15,"open",,,,,,,,,,,2,,1,,,,,2,2,,,,,,,,,2,,,,3,
"Rogers Pass","Antennaria umbrinella",33,15,"cushion",,,,,,,1,,,,5,,3,,,,,3,3,,,,,,,,,4,,,1,4,
"Rogers Pass","Antennaria umbrinella",33,11,"cushion",,,,,,,,,,,,1,2,,,4,,4,4,,,,,,,3,,4,,,,4,
