"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis","Arabis","Carex","Cerastium","Elymus","Grass cap","Koel","Rubiacee","Saxifraga"
"San Francisco Mt.","Geum_rossii",39,1,"cushion",5,5,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,2,"cushion",6,5,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,3,"cushion",7,5,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",39,23,"cushion",19,16,,,,3,,1,,,,
"San Francisco Mt.","Geum_rossii",39,24,"cushion",28,11,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,25,"cushion",21,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,45,"cushion",28,26,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,46,"cushion",47,16,,,1,,4,1,14,2,9,
"San Francisco Mt.","Geum_rossii",39,47,"cushion",39,20,,,,,,,,2,,
"San Francisco Mt.","Geum_rossii",39,67,"cushion",50,35,,,2,,1,,4,,1,
"San Francisco Mt.","Geum_rossii",39,68,"cushion",45,40,,,,,1,,2,,3,
"San Francisco Mt.","Geum_rossii",39,69,"cushion",51,42,,,,,,6,,,,
"San Francisco Mt.","Geum_rossii",39,70,"cushion",63,35,,,1,,,,1,1,3,
"San Francisco Mt.","Geum_rossii",39,9,"open",15,8,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,32,"open",30,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,55,"open",56,19,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,78,"open",70,45,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,79,"open",94,50,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,80,"open",75,64,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,4,"cushion",8,8,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,5,"cushion",12,6,,,,,2,,,,,
"San Francisco Mt.","Geum_rossii",39,6,"cushion",10,8,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,7,"cushion",13,7,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,8,"cushion",16,6,,,,,,,1,2,,
"San Francisco Mt.","Geum_rossii",39,9,"cushion",15,8,,,3,,,,,,1,
"San Francisco Mt.","Geum_rossii",39,10,"cushion",15,10,,,5,,,,,1,,
"San Francisco Mt.","Geum_rossii",39,11,"cushion",19,8,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,12,"cushion",17,10,,,2,,,,2,1,3,
"San Francisco Mt.","Geum_rossii",39,13,"cushion",17,11,,,,1,,,,,3,
"San Francisco Mt.","Geum_rossii",39,14,"cushion",17,12,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",39,15,"cushion",17,12,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,16,"cushion",15,14,,,,,,,3,,,
"San Francisco Mt.","Geum_rossii",39,17,"cushion",30,7,,,,,,,2,1,,
"San Francisco Mt.","Geum_rossii",39,18,"cushion",18,12,,,,,,,,1,1,
"San Francisco Mt.","Geum_rossii",39,19,"cushion",21,12,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",39,20,"cushion",16,16,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,21,"cushion",30,9,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,22,"cushion",23,13,,,,,,4,,1,,
"San Francisco Mt.","Geum_rossii",39,26,"cushion",21,15,,,2,,3,,4,4,4,
"San Francisco Mt.","Geum_rossii",39,27,"cushion",23,15,,,,,,,2,,2,
"San Francisco Mt.","Geum_rossii",39,28,"cushion",21,18,,,,,,1,,,,
"San Francisco Mt.","Geum_rossii",39,29,"cushion",30,13,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",39,30,"cushion",20,20,,,,,,,2,,,
"San Francisco Mt.","Geum_rossii",39,31,"cushion",24,18,,,,,,,2,1,,
"San Francisco Mt.","Geum_rossii",39,32,"cushion",30,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,33,"cushion",30,15,,,3,,1,,5,2,1,
"San Francisco Mt.","Geum_rossii",39,34,"cushion",30,15,,,,,,,,1,6,
"San Francisco Mt.","Geum_rossii",39,35,"cushion",24,20,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,36,"cushion",26,19,,,,,,2,,1,,
"San Francisco Mt.","Geum_rossii",39,37,"cushion",25,20,,,,,,,1,1,,
"San Francisco Mt.","Geum_rossii",39,38,"cushion",27,19,,,1,,1,,1,,,
"San Francisco Mt.","Geum_rossii",39,39,"cushion",39,14,,,,,,,4,2,2,
"San Francisco Mt.","Geum_rossii",39,40,"cushion",26,23,,,1,,1,,,,,
"San Francisco Mt.","Geum_rossii",39,41,"cushion",30,20,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",39,42,"cushion",32,19,,,1,,,,1,1,1,
"San Francisco Mt.","Geum_rossii",39,43,"cushion",37,18,,,1,,,,,,3,
"San Francisco Mt.","Geum_rossii",39,44,"cushion",28,24,,,,,,6,5,,,
"San Francisco Mt.","Geum_rossii",39,48,"cushion",39,21,,,1,,2,,,,,
"San Francisco Mt.","Geum_rossii",39,49,"cushion",60,15,,,,,3,,3,3,3,
"San Francisco Mt.","Geum_rossii",39,50,"cushion",45,20,,,,,,,2,,,
"San Francisco Mt.","Geum_rossii",39,51,"cushion",36,27,,,,,,2,2,,5,
"San Francisco Mt.","Geum_rossii",39,52,"cushion",40,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,53,"cushion",35,29,,,,,,3,1,,1,
"San Francisco Mt.","Geum_rossii",39,54,"cushion",41,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,55,"cushion",56,19,,,,2,,,4,1,3,
"San Francisco Mt.","Geum_rossii",39,56,"cushion",36,30,,,,,1,,2,8,2,
"San Francisco Mt.","Geum_rossii",39,57,"cushion",42,26,,1,,,,,6,4,6,
"San Francisco Mt.","Geum_rossii",39,58,"cushion",39,29,,,1,,3,,9,1,4,
"San Francisco Mt.","Geum_rossii",39,59,"cushion",50,23,,1,,,,,,1,2,
"San Francisco Mt.","Geum_rossii",39,60,"cushion",50,23,,1,,,,,2,,,
"San Francisco Mt.","Geum_rossii",39,61,"cushion",49,25,,,,1,2,,,1,3,
"San Francisco Mt.","Geum_rossii",39,62,"cushion",50,25,,,,,,1,5,2,,
"San Francisco Mt.","Geum_rossii",39,63,"cushion",43,30,,,,,,,,1,,
"San Francisco Mt.","Geum_rossii",39,64,"cushion",48,31,,,3,,,,6,1,8,
"San Francisco Mt.","Geum_rossii",39,65,"cushion",44,35,,,2,,,6,26,1,1,
"San Francisco Mt.","Geum_rossii",39,66,"cushion",42,37,,1,,,,,3,,,
"San Francisco Mt.","Geum_rossii",39,71,"cushion",80,28,,,2,4,5,,6,,,
"San Francisco Mt.","Geum_rossii",39,72,"cushion",63,42,,,,,,2,2,3,4,
"San Francisco Mt.","Geum_rossii",39,73,"cushion",70,38,,,,,,10,,,3,
"San Francisco Mt.","Geum_rossii",39,74,"cushion",60,47,,,,1,2,,5,1,6,
"San Francisco Mt.","Geum_rossii",39,75,"cushion",72,40,,,,,,,2,3,2,
"San Francisco Mt.","Geum_rossii",39,76,"cushion",60,48,,,,,,8,,,,1
"San Francisco Mt.","Geum_rossii",39,77,"cushion",74,39,,,,,,6,1,,,
"San Francisco Mt.","Geum_rossii",39,78,"cushion",70,45,,,1,5,,,7,,6,
"San Francisco Mt.","Geum_rossii",39,79,"cushion",94,50,,,1,,,4,3,2,3,
"San Francisco Mt.","Geum_rossii",39,80,"cushion",75,64,,,,,5,,1,3,,
"San Francisco Mt.","Geum_rossii",39,1,"open",5,5,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,2,"open",6,5,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",39,3,"open",7,5,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,4,"open",8,8,,,,,,,,5,1,
"San Francisco Mt.","Geum_rossii",39,5,"open",12,6,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,6,"open",10,8,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,7,"open",13,7,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,8,"open",16,6,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,10,"open",15,10,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,11,"open",19,8,,,,,,,,,3,
"San Francisco Mt.","Geum_rossii",39,12,"open",17,10,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,13,"open",17,11,,,,4,,,1,1,,
"San Francisco Mt.","Geum_rossii",39,14,"open",17,12,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,15,"open",17,12,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,16,"open",15,14,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,17,"open",30,7,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,18,"open",18,12,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,19,"open",21,12,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,20,"open",16,16,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,21,"open",30,9,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,22,"open",23,13,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,23,"open",19,16,,,,,,1,,,,
"San Francisco Mt.","Geum_rossii",39,24,"open",28,11,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,25,"open",21,15,,,,,,,,,10,
"San Francisco Mt.","Geum_rossii",39,26,"open",21,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,27,"open",23,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,28,"open",21,18,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,29,"open",30,13,,,,,1,,1,,1,
"San Francisco Mt.","Geum_rossii",39,30,"open",20,20,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,31,"open",24,18,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,33,"open",30,15,,,1,,,,4,1,,
"San Francisco Mt.","Geum_rossii",39,34,"open",30,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,35,"open",24,20,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,36,"open",26,19,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,37,"open",25,20,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",39,38,"open",27,19,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,39,"open",39,14,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,40,"open",26,23,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,41,"open",30,20,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",39,42,"open",32,19,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,43,"open",37,18,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,44,"open",28,24,,,,,,,3,,4,
"San Francisco Mt.","Geum_rossii",39,45,"open",28,26,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,46,"open",47,16,,,,,,,,,2,
"San Francisco Mt.","Geum_rossii",39,47,"open",39,20,,,,,,,,,8,
"San Francisco Mt.","Geum_rossii",39,48,"open",39,21,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,49,"open",60,15,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,50,"open",45,20,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,51,"open",36,27,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,52,"open",40,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,53,"open",35,29,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,54,"open",41,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,56,"open",36,30,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,57,"open",42,26,,,,,,1,4,,6,
"San Francisco Mt.","Geum_rossii",39,58,"open",39,29,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,59,"open",50,23,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,60,"open",50,23,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,61,"open",49,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,62,"open",50,25,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,63,"open",43,30,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,64,"open",48,31,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",39,65,"open",44,35,,,,,,7,,,10,
"San Francisco Mt.","Geum_rossii",39,66,"open",42,37,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,67,"open",50,35,,,,,,,,,2,
"San Francisco Mt.","Geum_rossii",39,68,"open",45,40,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,69,"open",51,42,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,70,"open",63,35,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,71,"open",80,28,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,72,"open",63,42,,1,,,,,,,1,
"San Francisco Mt.","Geum_rossii",39,73,"open",70,38,,,,,,3,,,,
"San Francisco Mt.","Geum_rossii",39,74,"open",60,47,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,75,"open",72,40,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",39,76,"open",60,48,,,,,,2,,,,
"San Francisco Mt.","Geum_rossii",39,77,"open",74,39,,,,,,,,,3,
