"Sites","n","SR","nri.z.all.mean","nri.all.error","nri.z.cushion.mean","nri.cushion.error","nri.z.open.mean","nri.open.error","beta.mpd.pairs.mean","beta.mpd.pairs.error","beta.mpd.cushion.mean","beta.mpd.cushion.error","beta.mpd.open.mean","beta.mpd.open.error"
"site02",85,23,-0.09952631,0.1642738,0.1271092,0.1655365,-0.1712464,0.1619391,246.0647,4.159566,154.9849,6.945208,204.1964,3.702353
"site03",90,42,-0.04715018,0.1322604,0.05201454,0.1132541,-0.1474291,0.1467909,226.6317,2.216886,227.4672,2.560298,225.4157,1.941464
"site04",85,24,-0.1441999,0.1801744,-0.06803779,0.1802177,-0.2645361,0.1789135,212.9411,4.832922,215.2467,4.259914,208.6538,4.70245
"site05",100,10,-0.021398,0.1962043,0.04945228,0.2075023,-0.1428556,0.1800598,223.3965,6.317948,208.877,4.344357,"NA","NA"
"site08",100,22,-0.08636256,0.2023152,-0.5942996,0.1124362,0.5772326,0.2198852,216.167,5.655223,223.1266,4.524152,192.8572,9.742474
"site11",100,28,-0.05440067,0.1753916,0.1352461,0.1847262,-0.3850668,0.1373377,260.7607,4.251909,229.696,5.451754,227.3863,7.605341
"site12",100,20,-0.1819475,0.1780035,-0.1812333,0.1675964,-0.1836358,0.2032973,237.5233,4.45432,221.0953,4.892437,228.1277,6.556054
"site13",100,32,-0.02405999,0.1873946,-0.1972178,0.1681982,0.1954358,0.2023345,221.3436,6.144686,226.8795,5.071564,205.3634,7.413602
"site14",100,36,0.004621759,0.180813,-0.04922269,0.1609996,0.08325174,0.2067712,220.7461,8.675689,197.4098,7.96891,211.8007,10.07171
"site15",55,18,-0.06910758,0.249572,-0.001921365,0.2550745,-0.3570485,0.2256406,237.0348,5.20729,210.0122,6.15647,"NA","NA"
"site16",52,27,-0.2601443,0.2271016,-0.2673739,0.2339198,-0.2416182,0.2158556,236.3389,4.002493,233.384,6.236664,234.9826,7.110108
"site17",100,24,-0.3511132,0.1396922,-0.3916672,0.1425629,-0.1111687,0.1153737,232.3511,5.890053,240.7382,3.968364,135.1481,"NA"
"site18",100,24,-0.39994,0.1336572,-0.4354462,0.137659,-0.05819324,0.05447862,234.9161,3.969889,237.2453,4.451171,221.7465,0.831375
"site19",100,25,-0.1066976,0.1464589,-0.1111544,0.1510471,-0.06856796,0.105326,247.9309,2.613764,247.2387,3.698417,"NA","NA"
"site23",47,35,0.09612969,0.2666363,0.1895717,0.314388,-0.006656484,0.2030419,232.5687,5.942208,244.2932,9.418006,247.146,4.062465
"site24",50,40,0.04766991,0.2594752,0.02636489,0.2826566,0.07962744,0.2246019,243.3447,7.190367,226.2814,8.499731,238.6628,7.09691
"site25",53,35,-0.09668132,0.2136782,-0.02510072,0.2158815,-0.2835862,0.205123,241.2631,7.760812,232.9186,5.754755,239.6519,8.788373
"site26",50,28,0.3856858,0.2725482,0.4822171,0.2586177,-0.02801955,0.3217236,232.8102,10.36934,212.6328,12.308,226.5957,19.26462
"site31",72,28,-0.2451705,0.1557091,-0.3061946,0.1535753,-0.1841464,0.1576192,235.999,1.833059,238.0712,1.951891,235.4635,2.616911
"site32",28,21,-0.1359756,0.284091,-0.293348,0.2655561,0.02139671,0.2946816,233.9834,3.529794,240.2761,2.388584,232.6418,7.114518
"site33",30,28,-0.1621022,0.3240564,-0.1471378,0.305637,-0.1770667,0.3466597,218.8956,7.043354,239.2271,4.200933,238.8095,6.289479
"site34",30,24,-0.08111793,0.3747351,0.1619185,0.3726329,-0.3241544,0.3622034,181.1958,19.36565,196.6772,18.38027,184.5271,19.18308
"site36",30,14,0.01584442,0.3954226,0.4359764,0.3578141,-0.4187749,0.3768491,150.8476,23.50406,129.8496,21.39565,157.6645,24.91976
"site38",80,16,-0.1434071,0.2012932,-0.2430093,0.1980843,0.4442457,0.1781351,198.3489,7.726066,216.316,5.34324,193.0278,8.116834
"site39",80,9,0.0009952793,0.2266297,0.05315256,0.2265772,-0.3315074,0.2277046,180.2726,5.326521,201.5984,12.96804,"NA","NA"
"site41",90,33,-0.1763921,0.1767403,0.2298384,0.1603393,-0.7136647,0.1307624,212.2353,8.353806,197.8423,8.892622,217.254,5.618264
"site42",65,20,-0.134955,0.220078,-0.1044916,0.2035159,-0.1692957,0.2390028,215.7236,4.711756,206.1704,5.074683,193.6879,7.470958
"site43",79,36,-0.2566091,0.1719454,-0.1168243,0.1666065,-0.4058389,0.1725559,217.882,3.779023,214.8209,2.627832,218.6938,4.836883
"site44",60,19,-0.1808753,0.2552539,-0.03775246,0.2775918,-0.3448703,0.2226481,205.9941,6.019643,214.5907,6.893616,199.685,6.641174
"site45",60,25,-0.2844173,0.2349077,-0.1395688,0.2447307,-0.439612,0.2193064,211.8263,5.810294,216.4465,4.60384,213.2679,5.394373
"site47",90,60,-0.1037785,0.1278255,-0.2107069,0.1265066,0.003149808,0.1259817,248.8491,1.790087,248.0906,1.931697,248.215,1.496859
"site50",74,4,-0.261872,0.1755154,-0.1137008,0.2057569,-0.3690597,0.1474851,192.3276,3.685843,178.8996,6.015628,176.4539,6.682457
"site52",75,34,-0.2218088,0.187863,-0.288972,0.1535106,-0.1498482,0.2187707,230.7647,2.702349,235.1686,1.394447,220.127,4.521145
"site54",80,52,-0.09768546,0.1713717,-0.1092353,0.1849765,-0.08291676,0.1536786,234.9806,4.977572,238.3484,3.084277,211.1752,7.972892
"site56",101,17,-0.08423344,0.1693329,0.05755167,0.1709208,-0.2462736,0.1628055,212.0232,5.773904,210.5867,7.39214,204.3397,5.721983
"site57",100,56,-0.06898199,0.1719795,-0.002341305,0.1808,-0.1342343,0.1628128,231.0393,5.866842,223.1123,5.445833,218.8835,4.937634
"site58",100,29,-0.275369,0.1735307,0.1766184,0.165716,-0.8708444,0.09878148,235.9345,4.019999,225.282,4.631983,229.6197,5.52082
"site59",100,23,-0.03362953,0.1890318,-0.3573739,0.1502267,0.4728737,0.2015401,225.9371,6.811465,232.5081,4.092531,203.0784,6.023364
"site60",100,16,-0.0008504204,0.1655017,0.03651105,0.1647026,-0.1899928,0.1699078,198.4716,3.751441,220.116,5.904734,"NA","NA"
"site61",100,56,-0.03545709,0.1639202,-0.1937123,0.160921,0.09016821,0.1629012,245.1474,6.052918,229.9943,4.265982,224.5698,6.906582
"site64",103,24,-0.159526,0.1707761,-0.3295273,0.149054,0.1721841,0.1930095,217.4832,5.928431,218.9367,4.77859,196.4487,7.586438
"site67",80,17,0.08123037,0.2043787,0.1153198,0.1940828,0.006233538,0.2275196,235.0364,3.831516,235.643,5.500987,238.2998,5.654539
"site68",47,15,-0.2122455,0.2509302,-0.189498,0.2435508,-0.2772383,0.27974,229.2359,7.164318,226.8941,7.5656,221.827,6.265708
"site69",73,21,-0.09495107,0.1923964,0.01937945,0.1902202,-0.2550138,0.1914869,237.9471,6.116041,239.4354,4.965603,240.877,4.819427
"site72",81,15,0.121505,0.213812,0.1964351,0.2046147,-0.01700222,0.2300307,236.3221,6.280339,238.1166,5.301487,231.5193,8.455323
"site73",93,35,-0.2314843,0.1357619,-0.1406113,0.1332019,-0.3295579,0.1378433,230.3507,3.792114,231.2381,2.684777,227.7376,4.038394
"site74",85,39,-0.2971641,0.1434382,-0.1804759,0.1528265,-0.4216315,0.1284849,231.9217,2.901454,235.6752,3.318088,233.9627,3.244897
"site75",100,28,-0.2673245,0.1647485,-0.2513381,0.1480057,-0.2835012,0.180965,204.2224,5.877845,210.9379,5.032911,217.5538,4.306911
"site76",61,20,-0.2411382,0.2155841,-0.2113768,0.2144416,-0.2736052,0.218505,203.2381,6.198922,199.7569,5.536078,209.4555,6.040311
"site77",100,24,-0.03033692,0.2039471,-0.04335295,0.2107334,-0.0164627,0.1975863,172.6809,13.67035,173.8409,13.09409,171.0351,14.80012
"site78",100,18,-0.002606443,0.1813158,0.01869882,0.169428,-0.03614251,0.2000803,182.4935,5.431028,188.5665,5.802701,194.7666,6.879233
"site79",85,27,0.005714943,0.1988513,0.01936092,0.2078845,-0.008095446,0.1904935,224.8635,4.723702,222.5907,5.900204,231.301,5.049401
"site80",100,13,-0.01616122,0.1572393,0.01295503,0.1667672,-0.09935051,0.1303007,203.6858,6.353476,203.8991,7.873276,228.5741,"NA"
"site81",85,27,0.02421506,0.2058188,-0.1276382,0.2050222,0.1614319,0.2033688,238.452,5.155177,233.247,5.846835,232.7835,5.116794
"site83",60,19,0.03045448,0.2406762,0.01049745,0.2375737,0.05113721,0.2459301,206.0045,4.681847,216.1685,3.34206,198.1752,6.005777
"site84",70,14,-0.007368915,0.1936706,-0.0383446,0.2179505,0.02360677,0.1671853,206.0592,5.456642,213.3649,5.221126,188.3471,6.484822
"site85",82,51,-0.1428449,0.1449823,-0.03599117,0.155062,-0.2510178,0.1308327,240.4618,2.371559,244.0134,1.800916,240.4658,2.323251
"site86",80,25,-0.1843212,0.1928731,-0.1057509,0.2035508,-0.4239606,0.1481097,223.6578,4.724392,231.7778,4.398062,197.8706,9.707457
"site87",80,24,-0.2649967,0.1844263,-0.3602369,0.1569266,-0.009889103,0.237802,227.0433,6.116508,231.4299,3.681573,216.9571,6.457553
"site88",78,48,-0.2458955,0.168277,-0.2806585,0.1623645,-0.1190106,0.1901376,223.7178,4.562232,239.7548,3.270229,187.214,5.823244
"site89",50,37,-0.2695871,0.2329996,-0.2983113,0.241393,-0.2414613,0.2267627,237.5232,4.792345,238.8531,5.809523,240.3592,5.009803
"site91",100,35,-0.1270697,0.1711469,0.05867268,0.1743377,-0.3377288,0.1585981,200.4695,8.772413,201.1821,10.23402,209.0091,8.086852
"site92",100,26,-0.02227583,0.1870269,0.1080228,0.1930737,-0.3193566,0.1612237,191.175,7.587165,215.2463,7.621505,187.1402,7.785952
"site93",91,12,0.0458394,0.1998681,0.1452417,0.2112839,-0.1788962,0.1663353,213.4199,6.196897,215.6927,6.595495,187.1402,6.300852
"site94",57,25,-0.2859168,0.2300318,-0.02670441,0.2456391,-0.5710504,0.1874547,230.0488,6.950519,227.9383,6.034113,214.1607,7.261071
"site95",80,23,-0.06061486,0.1992607,0.1135256,0.1931193,-0.3859826,0.1931887,211.9272,9.324402,214.9573,6.054157,211.7873,6.1834
"site97",99,31,-0.1956352,0.1705977,-0.1372603,0.1643078,-0.2695767,0.1782918,220.1975,6.646762,224.7322,5.722758,222.7425,6.547684
"site98",114,63,-0.1194546,0.1673989,-0.1414346,0.1619483,-0.05524974,0.1841876,244.913,3.439507,247.8194,2.590316,242.2884,7.121694
"site99",39,15,0.06329873,0.3519637,0.1047202,0.3661537,-0.1935143,0.2626633,228.5934,4.609764,219.1021,9.15663,243.7114,"NA"
"site100",32,39,-0.09863249,0.2327523,-0.2798046,0.1583343,0.08253965,0.2772909,250.7204,3.33995,248.1079,2.849849,254.3634,1.921153
"site101",80,11,-0.1369588,0.1916623,-0.1651443,0.2101161,-0.10727,0.1712661,217.7595,5.167731,217.65,4.672602,222.152,3.943637
"site37",80,24,-0.05829327,0.1982424,0.1162372,0.1932944,-0.3843896,0.1896747,212.5805,9.294711,215.5239,6.063345,211.7873,6.1834
"site46",80,25,-0.2843044,0.1948967,-0.3016405,0.172521,-0.2552853,0.2294505,222.2405,4.930749,224.9975,5.450665,232.9559,5.549857
"site62",100,9,-0.1496567,0.1756418,-0.1330387,0.1801667,-0.1982323,0.1683,172.7781,8.310282,201.1775,6.975323,174.3056,10.39536
"site63",100,14,-0.02752153,0.1980255,-0.1635238,0.1913863,0.1609728,0.2027899,205.1908,6.466008,217.7724,5.553757,205.0376,10.18765
"site65",104,41,-0.2767141,0.1789377,-0.06752136,0.188397,-0.7912153,0.1004291,232.4903,5.06579,232.7624,4.32516,229.3116,3.959535
"site09",100,12,0.124258,0.201655,"NaN","NA",0.2116437,0.1917553,221.0174,9.271189,204.7819,5.565557,181.3333,0.3596416
